AW_CODE,Grants,Value,DURATION
"100,031",,,The maximum period of tenure is three years.
"100,034",,,Up to three years.
"100,035",,,Refer to the application organisation
"100,037",,,Three months to a maximum of one year.
"100,040",,,One Year.
"100,043",,,"Refer to the Rhodes Trust website.
http://www.rhodeshouse.ox.ac.uk"
"100,045",,,Up to three years
"100,046",,"The value of each award varies - canbe between $2,000 to $8,000 for one year.",The term of an award shall be at the discretion of the Selection Committee but shall normally be for one year and not less than three months or more than three years.
"100,048",,,Up to three years.
"100,049",,,up to three years
"100,052",,"£25,000 per annum, which is intended to cover university and college fees, and some living expenses",Maximum of three years.
"100,053",,,One Year
"100,054",,,One Year
"100,056",,,One Year
"100,057",,,Up to the minimum time it takes to complete a medical degree (five years).
"100,062",Two,"Up to $3,000 per annum.",One year.
"100,069",One each year.,Determined annually as funds permits,One year.
"100,073",,"$13,000 per year (masters). $20,000 per year (doctoral). Reviewed from time to time","For masterate students, funding will be for one year (normally for a course including a significant research component); for doctoral students, awards may be for up to three years."
"100,076",One Year,Determined annually as funds permit,One Year
"100,080",Varies,"$1,000 per annum.  A lesser or greater amount may apply depending upon the available income.",One Year
"100,097",,,Maximum period of three years.
"100,098",,,Annual applications. Future support requires re-application with current examination results.
"100,100",,,One Year
"100,102",One each year.,Annual value of $800.,"Shall be tenable for two years, provided however that it shall be continued for the second year only if the holder has done satisfactory work during the first year.

The Scholarship shall be tenable at The University of Auckland, or at such university, college, or institution as shall be approved of by the Council of The University of Auckland."
"100,105",Determined annually.,At the discretion of the HB Fruitgrowers Association with no one scholarship exceeding $2000,One year.
"100,106",Varies,Academic fees and Contribution of $500 towards producing thesis.,1 to 3 years.
"100,112",One each year.,"Up to $15,000.",One year.
"100,113",One,$300 paid in one lump sum.,One year.
"100,122",One,Determined each year,One Year
"100,124",Two,"$1,000",One year
"100,125",Varies,"Up to $3,000 annually.",The maximum tenure of the scholarship shall be the minimum number of years necessary to graduate in the degree in which the applicant enrolled.
"100,126",Depends on the funds available.,"Normally up to $2,000 per annum.",The scholarship may be awarded for one or more years but tenure of the scholarship will not exceed the minimum time required to complete the course and will also be dependent upon satisfactory academic progress towards the degree.
"100,128",,"$500 to $1,500 per annum.",Usually three years.
"100,130",One,"Non-resident tuition fees, registration fees, and room and board are covered by the scholarship.",1 year
"100,131",Up to three each year,"$1,000 each",One year
"100,132",One each year.,"$1,000 per year.",One year.
"100,141",Varies,See additional information.,
"100,142",One each year.,Determined by each year,One year.
"100,143",Varies,Approx $500 full time (or part thereof for part time),One Year
"100,148",One each year.,"Return air travel to Holland, livingexpenses, accommodation, and internal travel are paid.",Two months.
"100,149",Refer to application organisation.,"Up to $3,000 each year.",One year.
"100,150",,,One year.
"100,153",One or more each year.,"Up to $3,000 each year.",
"100,155",One each year,Refer to Funder,Refer to Funder
"100,156",,"Up to $2,000 each year.",
"100,163",One each year.,$1500 each year.,One academic year.
"100,168",3 each year.,"Up to $1,000 each.",1 year.
"100,172",One each year.,"Approx $1,500 each year.",One year.
"100,175",One each year.,"Up to $2,000 per annum.",One year.
"100,180",1 biennially,"$1,000",1 year.
"100,188",Varies.,"Postgraduate: Up to $3,000 per annum. PhD: Up to $4,000 per annum.",One year.
"100,190",Four each year,Value to be determined by income,"One year
Payments shall be made in two equal installments. Payments shall be subject to the recommendation of the selection panel."
"100,191",Up to Two,See 'Additional Information',Two Years
"100,192",,,2 years.
"100,195",Two - One per school.,"$1,500 each award.",One year.
"100,197",Two,see 'Additional Information',Fellowships for both master's (24 month) and doctoral (48 months) degrees are available.
"100,199",One,"$5,000",One year
"100,200",,,"Three years (two years in the case of a student from GREE 215, or from LATI 213 after completing 100-level Latin at University)."
"100,202",Varies,Varies,One or more years
"100,204",,,
"100,207",,,One year of study or research in the US.
"100,210",Two each year,$250 each,One year
"100,218",Two each year,Value to be determined by the selection panel - usually about $500,One year
"100,224",One each year,"The value shall be determined after consideration of the income from the fund,",One year
"100,225",,,One year
"100,226",,,One or years on the recommendation of the Scholarships Committee and based on academic achievement during their study at Victoria University. In some circumstances this may be extended to a period of a total of not more than three years.
"100,245",One each year.,Up to $3000,One year.
"100,249",,,
"100,253",,,One year
"100,254",,,For up to three years
"100,256",,,One year
"100,262",,"$20,000 per annum plus annual grantsto assist with tuition fees and travel",2 Years
"100,263",Up to three annually.,"Stipend of up to $15,000;  Full fees;Research expenses up to $5,000.",1 year.
"100,266",,"$15,000 per annum, plus annual grants to assist with tuition fees and travel",2 years
"100,267",Three each year.,$300 each year.,Four years.
"100,270",Refer to application organisation,approx. $230,1 year
"100,273",One or more scholarships available,"$2,000 each - subject to funds available",One Year
"100,274",,,One off payment.
"100,277",Varies,"tuition fees up to $5,000 only",One year
"100,280",Up to three,The cost of accommodation in a double room at Weir House for the period of Trimester One and Two,"The bursary is tenable for one year only. Please note that although the bursary recipients may hold this and other awards simultaneously, it may not be held together with any other Accommodation Scholarship."
"100,281",One each year,"$3,000 each year",One year
"100,284",,,Up to two years
"100,289",One each year,"$3,000",One year
"100,291",Varies,"Up to $1,000",One Year
"100,295",Varies,"Up to $5,000 each year.",One year
"100,298",One each year,Funds for disbursement determined bythe Trustees and Selection Panel each year,One year
"100,305",One,"Up to $3,000 may be available for disbursement each year",One year
"100,306",One or two each year,"$600 each year for one scholarship, $300 each year for each scholarship if there are two",One year
"100,317",One,"$25,000 per year.",Up to two years of study.
"100,323",One,"$5,000",One Year
"100,325",,,One year
"100,326",One each year,$750 each year,One year
"100,327",,,"One year, with the possibility of extension."
"100,331",,,3 Years
"100,332",One or more each year,"$1,500",One year
"100,336",Varies,"Covers tuition costs and reasonable costs of travel, accommodation and related living expenses.",The tenure of the Scholarship is normally one year. It will be extended for a second year where this is necessary for a recipient to undertake a structured course approved by the Trustee and the Selection Committee.
"100,337",Two,"$5,000",One Year
"100,340",One or more each year,Determined by the Trustees each year,One year
"100,341",35 Fellows around the globe each year.,"US$10,000",One year. Current fellows may apply to renew the Fellowship for a second year and will undergo the same application and evaluation procedures as first-time applicants.
"100,342",one,Refer to 'Additional Information',Two years.
"100,351",,"$6,000 per annum for doctoral or postdoctoral level. $3,000 per annum forother postgraduate study",Doctoral or postdoctoral up to two years other postgraduate study up to one year.
"100,357",,,"Each Scholarship shall be tenable until the end of the holder's fourth academic year at The University of Auckland, or such other institution as may be approved by the Council of The University of Auckland."
"100,363",Three,maximum of $750,One year.
"100,364",One,"Up to $1,500",One year.
"100,367",,,One Year
"100,370",One per year,Domestic fees credit,One year
"100,373",One,$500 paid in one lump sum.,One year.
"100,375",One,$300 in one lump sum.,One year.
"100,379",One,$500 paid in one lump sum.,One year.
"100,386",24,"$1,000",One Year
"100,397",One,"Up to $1,000",One year.
"100,398",One,"Up to $1,000",One year but holders may apply in a subsequent year.
"100,410",,,One year. Scholarship may be continued provided satisfactory academic progress is maintained.
"100,412",At discretion of the Council,Varies.  Credit provided at Lincoln University Bookshop.,One year.
"100,420",One.,"$1,000 and $200 for books paid in lump sum and credit at Lincoln University bookshop.",One year.
"100,421",One.,Determined each year.,One year.
"100,423",One.,"Up to $1,000 but does vary annually",Varies but usually one year.
"100,425",Varies,"$4,000",One year.
"100,432",,,One year for a Masters Degree.
"500,001",Varies,"$5,000",One year.
"500,002",,,"This award is for a four year undergraduate program, provided the scholar maintains good academic performance and conducts himself/herself in accordance with the expectations of the Program, Duke and UNC-Chapel Hill."
"500,008",Several,"Up to $5,000",1 year
"500,009",one.,"Value of $3,500 per annum.",One year.
"500,011",Determined annually by the Trustees,Cost of tuition fees and access to services and facilities appropriate tosporting code or arts.,"One year.
There is the possibility that scholars will be able to hold their scholarships for multiple years if their progress is satisfactory. Maintainence of a scholarship is not included in the additional 40 offered each year."
"500,012",One,"Up to $4,000",One year.
"500,017",,,One year. Reapplication the following year is allowed.
"500,019",One,$500.00,One year.
"500,021",Two.,"$1,000.",One year.
"500,024",,,One year.
"500,028",Decided each year.,Tutition fees plus access to the Canterbury Golf Asssociation's development programme.,The minimum time to complete the course chosen.
"500,038",One per year.,"$2,500.",One year.
"500,039",One each year.,Determined each year.,The tenure of the Argyle Award will be for one year with the right to apply for a continuation of up to a maximum of four years.
"500,042",Up to 15 are awarded per year to students enrolled in a bachelors degree.,Domestic tuition fees only.,Up to four per school awarded for one year of tuition fees. One scholarship per school awarded for minimum time to complete the degree.
"500,050",30,See 'Additional Information',One year to study an approved Graduate Diploma of Secondary Teaching.
"500,051",,,A School Leaver and Undergraduate Māori Medium Scholarship covers your compulsory course fees for up to four full-time years of study.
"500,054",,,"Students may hold this scholarship more than once, up to a total value of $6,000."
"500,058",Up to ten each year.,"$4,000 for full-time, pro-rated for part-time.",One year.
"500,059",,,1 year
"500,060",Up to four each year.,"$2,500.",One year.
"500,063",,,Up to three years full-time study.
"500,064",,"Tuition & compulsory fees + up to$2,500 accommodation in first  year(refer additional information)",Up to three years full-time study.
"500,065",,,The scholarship is available for one year in the first instance but extensions may be granted for up to three years according to the course of study.
"500,067",,,"For up to two years for Masters study, or three years for PhD study."
"500,069",,,1 year
"500,076",One each year.,"Up to $4,000",One year.
"500,077",,,One year.
"500,093",Variable,Variable,Variable.
"500,094",One each year.,Year 2 $50% of Tuition Fees. Year 3 $75% of Tuition Fees. Year 4 $100% ofTuition Fees.,"The Scholarship will normally be available for each subsequent year of study. Upon completion of each academic year the scholarship recipient's status will be reviewed and dependent on the recipient attaining a B grade average, the scholarship will be continued onto the next year of study until completion of the Bachelor of Engineering (Honours) Civil qualification. The value of the scholarship will be 75% of tuition fees for Year 3 of study and 100% of tuition fees for Year 4 of study."
"500,095",One each year.,"$6,000",One year.
"500,097",One each year.,Year 2 - 50% of Tuition Fees. Year 3- 75% of Tuition Fees. Year 4  - 100% of Tuition Fees.,Up to three years.
"500,098",,,Up to three years.
"500,103",,,One year
"500,104",,,1 year.
"500,105",One each year.,"Up to $1,000.",One year.
"500,108",One each year.,"Tuition fee waiver $5,000 towards course related costs, work experience",One year.
"500,110",,,Up to three years.
"500,112",Up to 100 full-time and part-time,"$3,000 (for full-time) $1,500 (for part-time)",One year. Paid in two instalments.
"500,113",Up to 25 full-time and part-time scholarships.,"$3,000 for full-time or $1,500 for part-time.",One year.
"500,114",Up to 25 full-time and part-time scholarships,"$3,000 for full-time $1,500 for part-time",One year.
"500,121",,,Towards one year of study or research in the US.
"500,122",,,Towards one year of study or research in the US.
"500,127",,,Varies.
"500,128",,,1 year
"500,131",One,Refer ' Terms and conditions',One Year
"500,132",Varies.,"Up to $8,000 each per annum.",Up to three years.
"500,133",Up to Three,"Up to $5,000 towards fees",Up to three years.
"500,134",,,One year.
"500,135",,,Up to two years.
"500,137",,"$10,000 towards domestic tuition fees and course related costs or living expenses.",One Year
"500,138",Up to 5,"$21,000 pa; thesis tuition fees at NZ domestic rate; economy return airfare",Up to 3 years full time study
"500,147",,,One year.
"500,164",,,"The residency will run from mid-August to mid-November each year, with the recipient based at the Centre of Pacific Islands Studies at the University of Hawai'i in Honolulu."
"500,166",One,"$5,600",Up to three years.
"500,170",One.,"$5,000",1 year.
"500,178","Up to three, depending on availability of funds.","$5,000",One year.
"500,180",,,Three years full-time study.
"500,181",,,Three years of full-time study.
"500,183",1,"$5,000 per annum towards Third Professional year tuition fees",One year
"500,184",Three,"$3,000",The scholarship will be awarded to the recipient in instalments according to the years of study.
"500,189",,,1 year
"500,196",Up to 2,"Up to $10,000",1 year.
"500,197",,,1 year
"500,198",,,One year
"500,202",Varies,see 'Additional Information',One Year
"500,205",,,One year.
"500,206",,,1 year.
"500,211",Five,Value is at the discretion of the Trustees,One scholarship per individual per annum.
"500,216",Up to 2, up to $250,1 Semester.
"500,220",One,"Up to $3,000",One year
"500,221",,,1 year.
"500,222",Up to 2,"$3,500 p.a",Up to 3 years.
"500,225",ONE award biennially in even years,"$4,000",given as a one off amount on selection
"500,228",,,Three to five months.
"500,229",,,One year.
"500,231",Up to 2,"up to $5,000 (BE(Hons)) or up to $10,000 (MBA)",One year.
"500,232",,,One year.
"500,233",,,1 year
"500,235",,,1 year
"500,240",,,One Year
"500,241",10 annually,Refer 'Additional Information',One Year
"500,242",Two,"up to $3,000",One year
"500,244",One,"$2,500 plus a six-week paid summer internship with the BNZ Markets team in Wellington.",One Year.
"500,250",varies,$3000,"The scholarship may be held for the duration of an undergraduate degree programme in sciences (normally no longer than four years), providing that the scholar achieves at least a B average each year and satisfactory progress in all respects."
"500,251",One,"$3,000",One Year
"500,254",up to 20,"$3,000 - Four paper thesis $2,250 - Three paper thesis",The Award is intended for full-time students who may receive the award only once during the tenure of their Masters level studies. Part-time applicants may apply for a pro-rata amount and may then reapply after 52 weeks (in competition with other applicants) for the remaining amount.
"500,255",Varies,"$1,500 for applicants enrolling full-time (i.e. 120 points)",1 year
"500,263",One,"$5,000",One year
"500,264",1,"$1,000","One year, though on application the award may be held in subsequent years. No student may hold the award for more than three years."
"500,266",One,"Up to $2,000",One year
"500,267",Varies,$5000,One Year
"500,268",One,$3000,1 Year in the year that it is awarded.
"500,269",One.,$750,1 payment
"500,270",One,$3000 per annum,One Year
"500,271",One,$500,1 Year
"500,272",Varies,Between $200 to $600  depending on the distance from the student's home to the University of Otago,One Year
"500,273",Varies,$3000,One year
"500,274",One or more,"$20,000",3 to 6 months
"500,275",One,$1000,"The award is for One year only, and must be taken up in the year that it is awarded."
"500,276",,,Award payment
"500,283",,,One Year
"500,284",,,1 year.
"500,287",1,"$13,000 stipend per annum, domestic tuition fee waiver",1 year
"500,288",,,1 Year
"500,291",Up to 5 (depending on availability of funds),"Up to $5,000",1 year
"500,296",,,Three years
"500,299",,,One Year
"500,302",Two,"$5,000",One year.
"500,306",Varies,"$5,000",1 year
"500,310",Up to two,"$1,500 and a medal.",One Year
"500,312",One,"$5,000",1 year
"500,316",1 (only one person can hold the award at any given time),"$22,000 pa (paid in monthly instalments of $1,833.33)",Up to three years
"500,317",Varies,Covers half (50%) of the candidate'sfees in each year of enrolment in the PGDipMgtSt programmed.,2 years
"500,318",One,"$5,000 pa",Up to three years
"500,321",1,Refer 'Additional Information',1 year
"500,322",Multiple awards are offered,Determined at the discretion of the Professor(s) of Earth Sciences,1 year
"500,333",,,Up to one year.
"500,334",15 to 5 Universities,"$5,000",One year.
"500,337",,,Up to four years.
"500,338",,,1 year.
"500,343",,,Up to 1 year.
"500,345",,,One or two trimesters
"500,346",Varies,"up to $20,000 may also include appropriate allowance for living",One or more years.
"500,348",,,One year
"500,350",,,Up to one year
"500,353",,,1 Year
"500,355",,,1 year.
"500,356",,,Up to 4 years.
"500,361",,,1 year
"500,362",,,1 Year
"500,363",,,1 year.
"500,370",,,Up to three years
"500,371",,,"A minimum of two semester's full-time study, or a cumulative total of at least 12 months spread over the duration of the study programme (the grant is a one-off amount of NZ$25,000, irrespective of the number of years the applicant's study programme takes to complete)."
"500,372",,,The scholarship is available for up to three years according to the course of study. Continuation of the scholarship is dependent upon positive reports from the scholar's teacher or supervisor. The scholar will be required to report directly to the Trustees on a regular basis. The course of study must be commenced in the year that the award is made i.e. the year of application.
"500,373",One,Tuition Fees,Up to 2 years.
"500,379",,,Up to 36 months.
"500,381",Varies,"Currently $5,000 (Paid in two equalinstalments (conditions apply)",One year
"500,388",A maximum of 10 scholarships will beawarded.,Full course costs & travel assistance up to the value of $500 per award.,One Year
"500,389",,,1 year.
"500,390",,,Up to 3 years.
"500,391",,,Up to four years.
"500,392",,,1 year.
"500,395",,,1 year
"500,396",One or two,"Up to $5,000",1 year.
"500,397",,,1 year.
"500,398",,,1 year.
"500,399",One,"$1,000",1 year.
"500,400",,,Up to 3 years
"500,402",,,"Ten week artist residency.

The residency will run in either the (American) Spring or Summer of each year"
"500,408",,,One year
"500,412",One,"AU$5,000",One year.
"500,414",,,Up to 3 years.
"500,415",,,One year
"500,417",1,"$2,500",1 year.
"500,418",,,The scholarship is available for three to four years according to the course of study.
"500,419",one,$5000 per annum,"Usually one year, may be extended to second year."
"500,422",one,"up to $1,000",One year
"500,427",,,Up to 3 years (Refer to Regulation 2).
"500,428",One,"$3,000",One Scholarship to the value of $3000 shall be awarded annually.
"500,432",,,One Year. Students may apply for a second year of Scholarship funding.
"500,433",Two,"$2,500",One or two semesters.
"500,435",One,"$2,000",One Year
"500,439",,,1 year
"500,442",A large number will be available,"$6,000",A scholar must contribute a minimum of 400 hours between 15 November and 15 March to the project.
"500,444",1,"Up to $5,000",Up to 2 years.
"500,445",,,One semester
"500,447",,,One year
"500,450",,,Up to three years.
"500,456",,,One year
"500,457",,,Duration of project 400 hours (approximately 10 weeks).
"500,460",,,One per year. The scholarship may be shared equally between two recipients. If there is no acceptable candidate in any year the scholarship may not be awarded.
"500,468",,,"Scholarships will normally be tenable for three years. For a student who has already been enrolled for a PhD at Victoria for more than three months at the time when the offer of a Scholarship is made, the maximum length of tenure of the Scholarship will be reduced."
"500,472",,,1 year.
"500,473",,,1 year
"500,475",,"Up to $25,000 stipend, compulsory fees, relocation grant, travel allowance and health insurance.",Up to 36 months.
"500,476",,,1 year.
"500,477",,,1 year.
"500,478",,,1 year.
"500,481",,,One year.
"500,482",,,1 year
"500,484",,,
"500,486","Varies, but a small number because of limited funding.","Funding grants of about $1,000 per application will be allocated.",One year
"500,489",One at any one time,"$3,000",Normally one year.
"500,490",One at any one time,"$3,000",Normally one year.
"500,491",Up to three,"5 days mediation skills workshop valued at $3,260 (inc gst).",One Year
"500,492",,,Two years.
"500,493",One,"$2,000",One year.
"500,497",,,Refer to funder.
"500,498",,,One year.
"500,504",,,Up to three years.
"500,506",,,Not Applicable
"500,512",1,"$1,000",Award must be taken up in the year in which it is made.
"500,513",2,$2500,The scholarship may be held for up to two successive trimesters. Closing dates will be 1 October (for exchange in Trimester 1 of the following year) and 1 May (for  exchange in Trimester 2 in the following year)
"500,515",Varies,refer 'Additional Information',12 months
"500,516",,,36 months
"500,517",4,"$13,000 stipend per annum.  International tuition fee waiver.",12 months
"500,518",Varies,"$10,000 towards fees in the first instance",1 year
"500,522",,,36 months
"500,523",1,"$13,000 stipend per annum. Domestic tuition fee waiver.",12 months
"500,525",,,"1 year if completing a Master of Arts
2 years if completing a BA(Hons) plus Master of Arts"
"500,530",,,1 year.
"500,531",,,First undergraduate degree.
"500,532",Up to 2,"$1,500",1 semester.
"500,535",1,"Up to $2,000",1 year.
"500,538",,Up to 50% of the fees required tocomplete the PGDipClin Res payable annually in retrospect.,The recipient will be expected to maintain a strong GPA during the tenure of the scholarship.
"500,539",One offered each year.,$2500,Applications for the Award will be reviewed by the Panel each year.
"500,543",,,1 year.
"500,544",,,1 year
"500,546",,,Up to 3 years.
"500,551",,,Up to one year of full-time study (or equivalent) or two years part-time study.
"500,556",,,"Up to 1 year.

The Scholarships shall be tenable until the date for completion of the requirements for the degree as specified in the General Regulations - Masters degrees."
"500,558",,,1 year.
"500,559",Varies,"$300 - $1,000 each",1 year.
"500,562",,,One year.
"500,565",,,First undergraduate degree plus subsequent degrees if applicable.
"500,569",Up to 3 per year,"Up to $6,000",1 year
"500,572",,,1 year
"500,575",one,"Up to $5,000",One year.
"500,581",One per year,"Up to $5,000",One year
"500,582",One per year,"Up to $1,500",One year
"500,584",Multiple,"Up to $3,000 for Part-time studentsUp to $6,000 for Full-time students",One Year
"500,585",at least four,"for $1,000",1 year
"500,587",1,"$5,000",1 year.
"500,589",,,3 years (PhD)/ 1 Year (Masters)
"500,590",One,"$10,000",One year.
"500,595",,,One year.
"500,598",One,"Up to $4,500 subject to funds available.","Up to 4 years or longer at the discretion of the selection panel, providing at least an average B+ grade (approximately a 7 grade point average) is maintained."
"500,599",,,Students may apply for the fees waiver Scholarship for no more than 4 years fees in total.
"500,603",One,"$10,000",One year
"500,604",Fourteen,"up to $10,000",One Year
"500,611",,,One year.
"500,613",unlimited,"$3,000",One off payment
"500,615",One,The successful applicant receives a monetary sum from Murray & Co.,One Year
"500,619",,,One Year
"500,620",,,"  The Scholarship will be held for up to three years. 

VUW may elect not to award the full number of scholarships in any year if the quality of applications is insufficient"
"500,621",Each year one or more awards maybe made depending on thesuitability of the candidates.,"$5,000 per annum stipend plustuitionfees up to $5,000 per annumSubject to fund availability.","The Scholarship may be retained for three years providing an average B (approximately a 5 grade point average) grade is maintained. This is also dependant on funding available.

Fees and stipend will be paid for up to three years of study subject to the student maintaining a B grade average (subject to funding available)."
"500,622",,,1 Year
"500,623",Up to two,"Up to $22,000",One year
"500,625",,"$2500, Entry into an assessment day & entry into a Career Compass Programme day.",
"500,626",Varies (depending on availabilityof funding),"Up to $5,000",1 Year
"500,629",,,Up to 2 years
"500,630",,,One year.
"500,631",1 (Every three years),"Up to $5,000 pa",Up to 3 Years
"500,632",,,Up to 3 years
"500,633",One annually,"Up to $10,000","The grant of $2,500 will be paid in a lump sum at the beginning of the first semester of the Scholar's final year of study following confirmation of their enrolment and after the completion of the summer internship.
Should the Scholar subsequently be successful in gaining permanent employment with BNZ Wholesale Banking, the additional grant of $7,500 would be paid in a lump sum after the first six month's of employment subject to a satisfactory performance review."
"500,634",,,Up to 3 years
"500,636",1,"Up to $2,500 pa",Up to 3 years
"500,637",,,The scholarship will be held for up to three years.
"500,647",,,One Year
"500,649",1,"Up to $5,000",Up to 2 years
"500,651",,,Up to 3 years.
"500,655",,,1 Year.
"500,656",,,1 Year
"500,657",,,1 Year
"500,658",,,A School Leaver and Undergraduate Scholarships (Secondary) - Tipu  Whakarito Te Reo Māori me Te Waka Whakarei covers your compulsory course fees for up to four full-time years of study.
"500,661",,,Minimum period for completion of first undergraduate degree or conjoint.
"500,664",One,Approx $5000,
"500,668",,,10 weeks in line with the VUW Summer Research Programme.
"500,669",,,The Scholarships shall be tenable for one year.
"500,670",20 ECE Graduate and Undergraduate,see 'Additional Information',An ECE Graduate and Undergraduate Scholarship covers your compulsory course fees for up to four full-time years of study.
"500,671",,,An ECE Māori and Pasifika Languages Scholarships covers your compulsory course fees for up to four full-time years of study.
"500,673",,"Up to $30,000 pa (including stipend domestic PhD fees and international student health insurance)",Up to 3.5 years
"500,675",One each year,"$25,000 annual stipend Tuition fees and Student Services Levies","Up to three years, renewable annually on satisfactory progress."
"500,676",at least two,$3000,1 year
"500,677",one,$5000,1 year
"500,678",one,"Up to $5,000",1 year
"500,679",Varies,Tuition fees- one semester only,One Semester. There will be no renewal of this award.
"500,680",As many as funds allow - up to 10,"Up to $2,000",Up to two semesters
"500,681",,,One year
"500,684",,,One year
"500,685",,,"One year, although consideration may be given to extending the grant, beyond one year, based on an annual progress report."
"500,686",,,One year
"500,687",,,One year
"500,688",1,"Up to $2,500",For one conference.
"500,691",,,"The current distribution of these grants by Faculty Research Committees is:
• Science/Engineering/SoAD – 2 awards per annum at $1000 each
• FHSS/Education – 2 awards per annum at $1000 each
• Law – 1 award per annum at $1000
• Commerce – 1 award per annum at $1000"
"500,692",,,
"500,693",1,"Up to $3,000",1 year
"500,695",1,"Up to $4,000",1 year
"500,696",,,1 year
"500,697",,,1 year
"500,700",,"Up to $25,000pa plus domestic PhD fees and international student health insurance (if applicable)",Up to 3 years
"500,701",,,1 Year
"500,704",One scholarship is available annually,"$15,000 stipend plus domestic tuitionfees (total value is subject tofunds available)","The Scholarship is tenable for a period of one year 

Canadian recipients will be required to pay the difference between the domestic and international student fee."
"500,706",Up to 2,"Up to $5,000",1 Year
"500,707","One scholarship is available at anyone time, with the possibility of overlap.",,"The scholarship will provide:
	+ Victoria University PhD fees for three years.
 	+ A stipend at the rate of $25,000 per annum for the period of supported enrollment.and within the qualifying term of the scholarship.
	+ Opportunities for casual employment at Weta Digital may be available to suitable candidates.

One scholarship is available at any one time with the possibility of overlapping scholarships if there are suitable candidates."
"500,709",,,Up to 1 year
"500,710",,,1 Year
"500,713",,"The initial value of funds availablefor the scholarship is expected to be in the region of NZ$8,000.","The scholarship is tenable for one academic year, the year that the scholar commences postgraduate study in Law at Oxford."
"500,715",Applications will be considered in each round until a suitable candidate is found any one year.,,One year.
"500,716",Up to three annually,"$5,000 annually",Three years maximum subject to meeting the conditions outlined below
"500,717",One only,"$7,500 each year",This is a three year scholarship subject to meeting the conditions as outlined below.
"500,718",,"Up to $25,000 pa (stipend), plus PhDfees and international student health insurance (if applicable)",Up to 3 years
"500,719",,"Up to $30,000pa international students, up to $10,000pa stipend plus compulsory tuition fees domestic students",Up to 2 years
"500,720",One,Up to $5000,One calendar year.
"500,722",,,1 year
"500,723",,,Up to 4 years.
"500,727",,,One year
"500,728",,"Laptop, bag and peripherals hardwareand software support (conditions apply)",If the successful applicant meets the conditions of the scholarship the laptop will be owned by the recipient (conditions apply).
"500,729",,,The scholarship is for one year but may be renewable for up to three years on application.
"500,731",,,One year
"500,734",,,The scholarship will be held for up to three years.
"500,735",,,Refer to Funder
"500,739",1,"Up to $3,750 pa",1 Year
"500,740",1,"Up to $5,000 pa",1 Year
"500,741",,,1 Year
"500,742",,,"Two scholarships are available annually in the form of a one-off grant of $750.As part of the scholarship entitlement the recipients may be offered up to 10 weeks paid work experience, at the Council, during the summer holidays for each year of their study (up to three years). This offer is dependent on the skills and interests of the scholarship recipient and the availability of suitable work at the Council."
"500,743",,,1 year
"500,745",1,"Up to $1,000 pa",1 year
"500,746",,,One year
"500,748",,,1 year
"500,749",Varies (subject to available funding),"Up to $4,000",1 Year
"500,751",,,The Scholarship may be retained for three years providing an average B (approximately a 5 grade point average) grade is maintained. This is also dependant on funding available.
"500,753",,,One year only
